duration(s),mode(str),current(A),voltage(V),cutoff_current(A),thermal_system_on(str),temperature_setpoint(degC),step_name(str)
1800.0,REST,,,,ON,45.0,precondition_to_45deg
3600.0,CHARGE,60.0,58.6,27.0,ON,45.0,60A_charge_at_45deg_1
3960.0,DISCHARGE,1.0,35,0.1,ON,30.0,1A_rest_after_charge_and_precon_to_30_1
58.0,DISCHARGE,85.0,35,1.0,OFF,30.0,takeoff_hover_trans_1
195.0,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_outbound_1
41.0,DISCHARGE,80.0,35,1.0,OFF,30.0,delivery_hover_1
10.0,DISCHARGE,171.7,35,1.0,OFF,30.0,transition_1
260.1,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_inbound_1
29.0,DISCHARGE,51.7,35,1.0,OFF,30.0,detransition_1
20.0,DISCHARGE,78.3,35,1.0,OFF,30.0,docking_hover_1
1.0,DISCHARGE,153.3,35,1.0,OFF,30.0,docking_hover_pulse_1
14.0,DISCHARGE,68.3,35,1.0,OFF,30.0,final_docking_1
3960.0,DISCHARGE,1.0,35,0.1,ON,45.0,1A_rest_after_discharge_and_precon_to_45deg_1
3600.0,CHARGE,60.0,58.6,27.0,ON,45.0,60A_charge_at_45deg_2
3960.0,DISCHARGE,1.0,35,0.1,ON,30.0,1A_rest_after_charge_and_precon_to_30_2
58.0,DISCHARGE,85.0,35,1.0,OFF,30.0,takeoff_hover_trans_2
195.0,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_outbound_2
41.0,DISCHARGE,80.0,35,1.0,OFF,30.0,delivery_hover_2
10.0,DISCHARGE,171.7,35,1.0,OFF,30.0,transition_2
1160.4,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_inbound_2
29.0,DISCHARGE,51.7,35,1.0,OFF,30.0,detransition_2
20.0,DISCHARGE,78.3,35,1.0,OFF,30.0,docking_hover_2
1.0,DISCHARGE,153.3,35,1.0,OFF,30.0,docking_hover_pulse_2
14.0,DISCHARGE,68.3,35,1.0,OFF,30.0,final_docking_2
3960.0,DISCHARGE,1.0,35,0.1,ON,45.0,1A_rest_after_discharge_and_precon_to_45deg_2
3600.0,CHARGE,60.0,58.6,27.0,ON,45.0,60A_charge_at_45deg_3
3960.0,DISCHARGE,1.0,35,0.1,ON,30.0,1A_rest_after_charge_and_precon_to_30_3
58.0,DISCHARGE,85.0,35,1.0,OFF,30.0,takeoff_hover_trans_3
195.0,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_outbound_3
41.0,DISCHARGE,80.0,35,1.0,OFF,30.0,delivery_hover_3
10.0,DISCHARGE,171.7,35,1.0,OFF,30.0,transition_3
2060.8,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_inbound_3
29.0,DISCHARGE,51.7,35,1.0,OFF,30.0,detransition_3
20.0,DISCHARGE,78.3,35,1.0,OFF,30.0,docking_hover_3
1.0,DISCHARGE,153.3,35,1.0,OFF,30.0,docking_hover_pulse_3
14.0,DISCHARGE,68.3,35,1.0,OFF,30.0,final_docking_3
3960.0,DISCHARGE,1.0,35,0.1,ON,45.0,1A_rest_after_discharge_and_precon_to_45deg_3
3600.0,CHARGE,60.0,55.0,27.0,ON,45.0,60A_charge_at_45deg_4
3960.0,DISCHARGE,1.0,35,0.1,ON,30.0,1A_rest_after_charge_and_precon_to_30_4
58.0,DISCHARGE,85.0,35,1.0,OFF,30.0,takeoff_hover_trans_4
195.0,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_outbound_4
41.0,DISCHARGE,80.0,35,1.0,OFF,30.0,delivery_hover_4
10.0,DISCHARGE,171.7,35,1.0,OFF,30.0,transition_4
260.1,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_inbound_4
29.0,DISCHARGE,51.7,35,1.0,OFF,30.0,detransition_4
20.0,DISCHARGE,78.3,35,1.0,OFF,30.0,docking_hover_4
1.0,DISCHARGE,153.3,35,1.0,OFF,30.0,docking_hover_pulse_4
14.0,DISCHARGE,68.3,35,1.0,OFF,30.0,final_docking_4
3960.0,DISCHARGE,1.0,35,0.1,ON,45.0,1A_rest_after_discharge_and_precon_to_45deg_4
3600.0,CHARGE,60.0,55.2,27.0,ON,45.0,60A_charge_at_45deg_5
4680.0,DISCHARGE,1.0,35,0.1,ON,30.0,1A_rest_after_charge_and_precon_to_30_5
58.0,DISCHARGE,85.0,35,1.0,OFF,30.0,takeoff_hover_trans_5
195.0,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_outbound_5
41.0,DISCHARGE,80.0,35,1.0,OFF,30.0,delivery_hover_5
10.0,DISCHARGE,171.7,35,1.0,OFF,30.0,transition_5
1160.4,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_inbound_5
29.0,DISCHARGE,51.7,35,1.0,OFF,30.0,detransition_5
20.0,DISCHARGE,78.3,35,1.0,OFF,30.0,docking_hover_5
1.0,DISCHARGE,153.3,35,1.0,OFF,30.0,docking_hover_pulse_5
14.0,DISCHARGE,68.3,35,1.0,OFF,30.0,final_docking_5
4680.0,DISCHARGE,1.0,35,0.1,ON,45.0,1A_rest_after_discharge_and_precon_to_45deg_5
3600.0,CHARGE,60.0,55.4,27.0,ON,45.0,60A_charge_at_45deg_6
5400.0,DISCHARGE,1.0,35,0.1,ON,30.0,1A_rest_after_charge_and_precon_to_30_6
58.0,DISCHARGE,85.0,35,1.0,OFF,30.0,takeoff_hover_trans_6
195.0,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_outbound_6
41.0,DISCHARGE,80.0,35,1.0,OFF,30.0,delivery_hover_6
10.0,DISCHARGE,171.7,35,1.0,OFF,30.0,transition_6
